cond_1	cond_2	time	mean_crossval_score	metric
deviant	standard	-0.04833333333333333	0.5281397468897469	roc_auc
deviant	standard	-0.04666666666666667	0.4975037537537538	roc_auc
deviant	standard	-0.045	0.41391570141570144	roc_auc
deviant	standard	-0.043333333333333335	0.44498337623337625	roc_auc
deviant	standard	-0.041666666666666664	0.48411357786357784	roc_auc
deviant	standard	-0.04	0.4521503646503646	roc_auc
deviant	standard	-0.03833333333333333	0.4040594165594166	roc_auc
deviant	standard	-0.03666666666666667	0.4487961175461176	roc_auc
deviant	standard	-0.035	0.4790889103389103	roc_auc
deviant	standard	-0.03333333333333333	0.5417631917631918	roc_auc
deviant	standard	-0.03166666666666667	0.5764237451737452	roc_auc
deviant	standard	-0.03	0.6030351780351781	roc_auc
deviant	standard	-0.028333333333333332	0.5812151437151437	roc_auc
