cond_1	cond_2	time	mean_crossval_score	metric
incoherent	coherent	0.416	0.5680555555555554	roc_auc
incoherent	coherent	0.42	0.6041666666666667	roc_auc
incoherent	coherent	0.424	0.5708333333333333	roc_auc
incoherent	coherent	0.428	0.5819444444444445	roc_auc
incoherent	coherent	0.432	0.5986111111111112	roc_auc
incoherent	coherent	0.436	0.6027777777777777	roc_auc
incoherent	coherent	0.44	0.5930555555555556	roc_auc
incoherent	coherent	0.444	0.6194444444444444	roc_auc
incoherent	coherent	0.448	0.6124999999999999	roc_auc
incoherent	coherent	0.452	0.5944444444444444	roc_auc
incoherent	coherent	0.456	0.5541666666666666	roc_auc
incoherent	coherent	0.46	0.43611111111111106	roc_auc
incoherent	coherent	0.464	0.43472222222222223	roc_auc
incoherent	coherent	0.468	0.4569444444444445	roc_auc
incoherent	coherent	0.472	0.5333333333333334	roc_auc
incoherent	coherent	0.476	0.4875	roc_auc
incoherent	coherent	0.48	0.44027777777777777	roc_auc
incoherent	coherent	0.484	0.49027777777777776	roc_auc
incoherent	coherent	0.488	0.5263888888888889	roc_auc
incoherent	coherent	0.492	0.5444444444444445	roc_auc
incoherent	coherent	0.496	0.5527777777777778	roc_auc
incoherent	coherent	0.5	0.5666666666666667	roc_auc
incoherent	coherent	0.504	0.5333333333333333	roc_auc
incoherent	coherent	0.508	0.45277777777777783	roc_auc
incoherent	coherent	0.512	0.5111111111111112	roc_auc
incoherent	coherent	0.516	0.5055555555555556	roc_auc
incoherent	coherent	0.52	0.5083333333333334	roc_auc
incoherent	coherent	0.524	0.49444444444444446	roc_auc
incoherent	coherent	0.528	0.48194444444444445	roc_auc
incoherent	coherent	0.532	0.4847222222222222	roc_auc
incoherent	coherent	0.536	0.4652777777777778	roc_auc
incoherent	coherent	0.54	0.5430555555555556	roc_auc
incoherent	coherent	0.544	0.5972222222222222	roc_auc
incoherent	coherent	0.548	0.6055555555555555	roc_auc
incoherent	coherent	0.552	0.48888888888888893	roc_auc
incoherent	coherent	0.556	0.5125	roc_auc
incoherent	coherent	0.56	0.5263888888888888	roc_auc
incoherent	coherent	0.564	0.5097222222222222	roc_auc
incoherent	coherent	0.568	0.5833333333333334	roc_auc
incoherent	coherent	0.572	0.5888888888888889	roc_auc
incoherent	coherent	0.576	0.5194444444444445	roc_auc
incoherent	coherent	0.58	0.45972222222222214	roc_auc
incoherent	coherent	0.584	0.4958333333333333	roc_auc
incoherent	coherent	0.588	0.5222222222222221	roc_auc
incoherent	coherent	0.592	0.5	roc_auc
incoherent	coherent	0.596	0.4652777777777778	roc_auc
incoherent	coherent	0.6	0.4416666666666667	roc_auc
incoherent	coherent	0.604	0.4902777777777777	roc_auc
incoherent	coherent	0.608	0.5347222222222222	roc_auc
incoherent	coherent	0.612	0.5875	roc_auc
incoherent	coherent	0.616	0.6541666666666667	roc_auc
incoherent	coherent	0.62	0.6236111111111111	roc_auc
incoherent	coherent	0.624	0.6027777777777777	roc_auc
incoherent	coherent	0.628	0.5527777777777777	roc_auc
incoherent	coherent	0.632	0.5680555555555555	roc_auc
incoherent	coherent	0.636	0.6097222222222223	roc_auc
incoherent	coherent	0.64	0.6611111111111111	roc_auc
incoherent	coherent	0.644	0.6694444444444445	roc_auc
incoherent	coherent	0.648	0.6319444444444444	roc_auc
incoherent	coherent	0.652	0.6027777777777779	roc_auc
incoherent	coherent	0.656	0.6180555555555556	roc_auc
incoherent	coherent	0.66	0.5833333333333333	roc_auc
incoherent	coherent	0.664	0.5361111111111111	roc_auc
incoherent	coherent	0.668	0.5083333333333334	roc_auc
incoherent	coherent	0.672	0.5388888888888889	roc_auc
incoherent	coherent	0.676	0.5305555555555556	roc_auc
incoherent	coherent	0.68	0.49861111111111106	roc_auc
incoherent	coherent	0.684	0.5402777777777776	roc_auc
incoherent	coherent	0.688	0.5430555555555555	roc_auc
incoherent	coherent	0.692	0.5333333333333333	roc_auc
incoherent	coherent	0.696	0.6027777777777779	roc_auc
incoherent	coherent	0.7	0.6	roc_auc
incoherent	coherent	0.704	0.6027777777777777	roc_auc
incoherent	coherent	0.708	0.673611111111111	roc_auc
incoherent	coherent	0.712	0.7027777777777778	roc_auc
incoherent	coherent	0.716	0.6930555555555555	roc_auc
incoherent	coherent	0.72	0.5888888888888889	roc_auc
incoherent	coherent	0.724	0.5847222222222223	roc_auc
incoherent	coherent	0.728	0.6097222222222223	roc_auc
incoherent	coherent	0.732	0.6166666666666667	roc_auc
incoherent	coherent	0.736	0.6055555555555556	roc_auc
incoherent	coherent	0.74	0.5930555555555556	roc_auc
incoherent	coherent	0.744	0.6444444444444445	roc_auc
incoherent	coherent	0.748	0.7416666666666668	roc_auc
incoherent	coherent	0.752	0.7263888888888889	roc_auc
incoherent	coherent	0.756	0.7152777777777777	roc_auc
incoherent	coherent	0.76	0.6722222222222223	roc_auc
incoherent	coherent	0.764	0.7208333333333334	roc_auc
incoherent	coherent	0.768	0.711111111111111	roc_auc
incoherent	coherent	0.772	0.7333333333333334	roc_auc
incoherent	coherent	0.776	0.7902777777777779	roc_auc
incoherent	coherent	0.78	0.7875	roc_auc
incoherent	coherent	0.784	0.7611111111111112	roc_auc
incoherent	coherent	0.788	0.7166666666666666	roc_auc
incoherent	coherent	0.792	0.7666666666666666	roc_auc
incoherent	coherent	0.796	0.7916666666666666	roc_auc
incoherent	coherent	0.8	0.7333333333333334	roc_auc
incoherent	coherent	0.804	0.7111111111111111	roc_auc
incoherent	coherent	0.808	0.6416666666666668	roc_auc
incoherent	coherent	0.812	0.5694444444444444	roc_auc
incoherent	coherent	0.816	0.6305555555555555	roc_auc
incoherent	coherent	0.82	0.7236111111111111	roc_auc
incoherent	coherent	0.824	0.6902777777777777	roc_auc
incoherent	coherent	0.828	0.6791666666666666	roc_auc
incoherent	coherent	0.832	0.6541666666666667	roc_auc
incoherent	coherent	0.836	0.5944444444444444	roc_auc
incoherent	coherent	0.84	0.513888888888889	roc_auc
incoherent	coherent	0.844	0.5041666666666667	roc_auc
incoherent	coherent	0.848	0.5611111111111111	roc_auc
incoherent	coherent	0.852	0.575	roc_auc
incoherent	coherent	0.856	0.5833333333333333	roc_auc
incoherent	coherent	0.86	0.6166666666666667	roc_auc
incoherent	coherent	0.864	0.6527777777777779	roc_auc
incoherent	coherent	0.868	0.6291666666666667	roc_auc
incoherent	coherent	0.872	0.6722222222222223	roc_auc
incoherent	coherent	0.876	0.6777777777777778	roc_auc
incoherent	coherent	0.88	0.6791666666666667	roc_auc
incoherent	coherent	0.884	0.7041666666666667	roc_auc
incoherent	coherent	0.888	0.7277777777777777	roc_auc
incoherent	coherent	0.892	0.6944444444444444	roc_auc
incoherent	coherent	0.896	0.6458333333333333	roc_auc
incoherent	coherent	0.9	0.6097222222222223	roc_auc
incoherent	coherent	0.904	0.6430555555555555	roc_auc
incoherent	coherent	0.908	0.6527777777777778	roc_auc
incoherent	coherent	0.912	0.5972222222222222	roc_auc
incoherent	coherent	0.916	0.6222222222222222	roc_auc
incoherent	coherent	0.92	0.6888888888888889	roc_auc
incoherent	coherent	0.924	0.6958333333333332	roc_auc
incoherent	coherent	0.928	0.6833333333333332	roc_auc
incoherent	coherent	0.932	0.7333333333333334	roc_auc
incoherent	coherent	0.936	0.763888888888889	roc_auc
incoherent	coherent	0.94	0.726388888888889	roc_auc
incoherent	coherent	0.944	0.6930555555555555	roc_auc
incoherent	coherent	0.948	0.6972222222222222	roc_auc
incoherent	coherent	0.952	0.6402777777777777	roc_auc
incoherent	coherent	0.956	0.6305555555555555	roc_auc
incoherent	coherent	0.96	0.6611111111111111	roc_auc
incoherent	coherent	0.964	0.6458333333333334	roc_auc
incoherent	coherent	0.968	0.6430555555555555	roc_auc
incoherent	coherent	0.972	0.6583333333333334	roc_auc
incoherent	coherent	0.976	0.6305555555555555	roc_auc
incoherent	coherent	0.98	0.6222222222222221	roc_auc
incoherent	coherent	0.984	0.6513888888888889	roc_auc
incoherent	coherent	0.988	0.773611111111111	roc_auc
incoherent	coherent	0.992	0.8416666666666666	roc_auc
incoherent	coherent	0.996	0.7694444444444445	roc_auc
incoherent	coherent	1.0	0.7027777777777777	roc_auc
